index,Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2047,2017-11-07 05-PM,ETHUSD,288.55,292.69,287.21,292.26,1214.87,351206.69
2046,2017-11-07 06-PM,ETHUSD,292.26,293,287.32,290.7,2353.2,681724.76
2045,2017-11-07 07-PM,ETHUSD,290.7,292.5,288.86,289.9,2050.45,595825.3
2044,2017-11-07 08-PM,ETHUSD,289.9,290.58,288.1,289.5,708.02,204590.76
2043,2017-11-07 09-PM,ETHUSD,289.5,293,288.9,292.7,1333.63,388656.65
2042,2017-11-07 10-PM,ETHUSD,292.7,294.43,290.4,291.85,1091.9,319416.43
2041,2017-11-07 11-PM,ETHUSD,291.85,292.21,289.69,291.1,541.41,157478.36
2040,2017-11-08 12-AM,ETHUSD,291.1,292.5,289.39,292,836.6,243373.78
2039,2017-11-08 01-AM,ETHUSD,292,294.45,291.5,292,1927.38,565751.33
2038,2017-11-08 02-AM,ETHUSD,292,293.97,291.67,293.8,468.37,137210.32
2037,2017-11-08 03-AM,ETHUSD,293.8,295.29,293.01,294.01,1350.92,397992.72
2036,2017-11-08 04-AM,ETHUSD,294.01,295.56,293.8,295.5,472.74,139446.82
2035,2017-11-08 05-AM,ETHUSD,295.5,296.8,295,296.41,575.99,170462.69
2034,2017-11-08 06-AM,ETHUSD,296.41,297.67,295.91,296.5,815.91,242206.84
2033,2017-11-08 07-AM,ETHUSD,296.5,296.5,294,296,591.13,174481.63
2032,2017-11-08 08-AM,ETHUSD,296,297.63,295,297.6,608,180048.35
2031,2017-11-08 09-AM,ETHUSD,297.6,298.1,296.63,298,678.89,201976.55
2030,2017-11-08 10-AM,ETHUSD,298,299,297.27,297.41,583.96,174279.55
2029,2017-11-08 11-AM,ETHUSD,297.41,299,297.41,297.7,595.44,177567.22
2028,2017-11-08 12-PM,ETHUSD,297.7,299.13,296.1,297.1,1739.71,518069.28
2027,2017-11-08 01-PM,ETHUSD,297.1,299,297.1,298.53,736.08,219439.83
2026,2017-11-08 02-PM,ETHUSD,298.53,299.95,297.46,299,2052.01,612980.06
2025,2017-11-08 03-PM,ETHUSD,299,300,298.16,298.51,1167.76,349319.04
2024,2017-11-08 04-PM,ETHUSD,298.51,299.1,297,299,802.03,239033.73
2023,2017-11-08 05-PM,ETHUSD,299,302,296.2,301.3,4537.61,1356008.35
2022,2017-11-08 06-PM,ETHUSD,301.3,312,301.13,305.49,13627.7,4173176.88
2021,2017-11-08 07-PM,ETHUSD,305.49,314.87,304,314,5760.04,1786604.76
2020,2017-11-08 08-PM,ETHUSD,314,319.9,308,313.56,7048.15,2219081.74
2019,2017-11-08 09-PM,ETHUSD,313.56,313.9,304.69,308.69,3596.23,1107008.39
2018,2017-11-08 10-PM,ETHUSD,308.69,308.69,305.05,305.1,1788.13,547525.37
2017,2017-11-08 11-PM,ETHUSD,305.1,308.35,304.69,306,1638.5,502128.56
2016,2017-11-09 12-AM,ETHUSD,306,309,304.2,309,1426.76,437781.39
2015,2017-11-09 01-AM,ETHUSD,309,313.5,309,310.04,3734.15,1161702.68
2014,2017-11-09 02-AM,ETHUSD,310.04,312.62,310,311.6,1523.2,473976.05
2013,2017-11-09 03-AM,ETHUSD,311.6,312,306.79,307.6,1006.37,311491.95
2012,2017-11-09 04-AM,ETHUSD,307.6,311,306.79,310.9,820.77,253846.49
2011,2017-11-09 05-AM,ETHUSD,310.9,313.2,310.3,311.73,2207.68,690396.88
2010,2017-11-09 06-AM,ETHUSD,311.73,313,310.97,312.5,1505.23,469910.34
2009,2017-11-09 07-AM,ETHUSD,312.5,314.51,311.53,314.33,1716.05,538305.05
2008,2017-11-09 08-AM,ETHUSD,314.33,317.5,313.5,314.04,3258.03,1025923.6
2007,2017-11-09 09-AM,ETHUSD,314.04,315,310,313,2174.46,677548.45
2006,2017-11-09 10-AM,ETHUSD,313,314.28,312,313,703.16,220228.06
2005,2017-11-09 11-AM,ETHUSD,313,315.42,310.87,314.5,1680.02,525292.01
2004,2017-11-09 12-PM,ETHUSD,314.5,319.12,313.71,317.12,2967.28,940101.56
2003,2017-11-09 01-PM,ETHUSD,317.12,318.68,316,316.96,1703.58,540164.37
2002,2017-11-09 02-PM,ETHUSD,316.96,325.99,316.07,325.99,6525.44,2103834.27
2001,2017-11-09 03-PM,ETHUSD,325.99,328.76,324,328,3567.92,1165148.18
2000,2017-11-09 04-PM,ETHUSD,328,328.5,322,323.39,2110.01,685358.54
1999,2017-11-09 05-PM,ETHUSD,323.39,326.1,322.69,325,1180.76,383630.99
1998,2017-11-09 06-PM,ETHUSD,325,327,323.96,326,1008.56,327779.62
1997,2017-11-09 07-PM,ETHUSD,326,326,323.5,324.01,686.52,222868.26
1996,2017-11-09 08-PM,ETHUSD,324.01,325.4,322,322,1399.87,453219.7
1995,2017-11-09 09-PM,ETHUSD,322,324.55,316.2,317.16,2744.42,878874.33
1994,2017-11-09 10-PM,ETHUSD,317.16,317.68,315,316,1728.8,546633.54
1993,2017-11-09 11-PM,ETHUSD,316,316.9,312.01,314.5,2126.11,668926.3
1992,2017-11-10 12-AM,ETHUSD,314.5,316.96,313,316.7,2198.38,694535.73
1991,2017-11-10 01-AM,ETHUSD,316.7,319.6,314,319,2100.37,665609.06
1990,2017-11-10 02-AM,ETHUSD,319,319.68,315,317.28,1471.49,466294.07
1989,2017-11-10 03-AM,ETHUSD,317.28,319.77,316.47,319.44,768.56,244653.87
1988,2017-11-10 04-AM,ETHUSD,319.44,319.44,318,318.96,1168.19,372015.87
1987,2017-11-10 05-AM,ETHUSD,318.96,318.96,315.57,318,2134.7,677406.64
1986,2017-11-10 06-AM,ETHUSD,318,318,316,317.55,1196.54,378744.46
1985,2017-11-10 07-AM,ETHUSD,317.55,318.2,314,314.31,1383.52,437371.26
1984,2017-11-10 08-AM,ETHUSD,314.31,316.66,313.74,316.66,1009.92,318312.89
1983,2017-11-10 09-AM,ETHUSD,316.66,319.2,315.45,316.32,1968.52,625781.07
1982,2017-11-10 10-AM,ETHUSD,316.32,322,314.2,321.53,2329.52,743332.76
1981,2017-11-10 11-AM,ETHUSD,321.53,323.52,310.63,313.47,3847.51,1220829.95
1980,2017-11-10 12-PM,ETHUSD,313.47,315,302.3,303,6281.27,1935710.21
1979,2017-11-10 01-PM,ETHUSD,303,308.45,302.33,306.16,3959.05,1207960.19
1978,2017-11-10 02-PM,ETHUSD,306.16,307.1,302.37,302.37,1706.98,519860.15
1977,2017-11-10 03-PM,ETHUSD,302.37,304,301.12,303,3131.14,947488.02
1976,2017-11-10 04-PM,ETHUSD,303,303,302.5,302.9,6528.07,1977988.04
1975,2017-11-10 05-PM,ETHUSD,302.9,303,296.62,300.64,4377.02,1314168.63
1974,2017-11-10 06-PM,ETHUSD,300.64,300.64,290.46,290.46,7637.22,2235781.97
1973,2017-11-10 07-PM,ETHUSD,290.46,297.83,287.85,297,7507.64,2192173.97
1972,2017-11-10 08-PM,ETHUSD,297,297,290,291.35,3793.49,1110480.9
1971,2017-11-10 09-PM,ETHUSD,291.35,299.79,291.35,299.43,3677.55,1090596.74
1970,2017-11-10 10-PM,ETHUSD,299.43,303.88,297.72,301,2798.33,843302.09
1969,2017-11-10 11-PM,ETHUSD,301,301.03,295,297.7,1901.22,564059.09
1968,2017-11-11 12-AM,ETHUSD,297.7,302,295.07,302,963.32,286708.36
1967,2017-11-11 01-AM,ETHUSD,302,302.82,299,300,1009.17,303770.11
1966,2017-11-11 02-AM,ETHUSD,300,301,299,301,833.85,249756.65
1965,2017-11-11 03-AM,ETHUSD,301,301,298.55,299.6,684.53,204855.98
1964,2017-11-11 04-AM,ETHUSD,299.6,302.5,298.98,302.49,921.19,277054.89
1963,2017-11-11 05-AM,ETHUSD,302.49,302.49,295,297.13,2283.36,679775.69
1962,2017-11-11 06-AM,ETHUSD,297.13,301,296,300.01,1056.56,316184.33
1961,2017-11-11 07-AM,ETHUSD,300.01,302,298.48,300.6,1382.86,415932.07
1960,2017-11-11 08-AM,ETHUSD,300.6,302.5,299.73,302.5,977.54,294456.22
1959,2017-11-11 09-AM,ETHUSD,302.5,303.57,300.36,301.46,695.09,209979.51
1958,2017-11-11 10-AM,ETHUSD,301.46,305,298.23,300.7,1553.84,469418.09
1957,2017-11-11 11-AM,ETHUSD,300.7,302.48,294.01,297.48,2360.42,703510.21
1956,2017-11-11 12-PM,ETHUSD,297.48,300.32,293,297.92,3083.19,915867.3
1955,2017-11-11 01-PM,ETHUSD,297.92,304.13,295.06,300.41,4780.56,1426713.65
1954,2017-11-11 02-PM,ETHUSD,300.41,303.5,298,300.75,3787.67,1144309.9
1953,2017-11-11 03-PM,ETHUSD,300.75,302.51,298.64,300,2312.12,694678.07
1952,2017-11-11 04-PM,ETHUSD,300,305,299.42,305,2866.83,869363.22
1951,2017-11-11 05-PM,ETHUSD,305,313,302.56,312.81,6893.52,2119884.91
1950,2017-11-11 06-PM,ETHUSD,312.81,315.07,306,313.71,6780.24,2113743.85
1949,2017-11-11 07-PM,ETHUSD,313.71,318.19,310.74,317.1,4270.36,1348018.63
1948,2017-11-11 08-PM,ETHUSD,317.1,320,315.5,319.61,2701.29,858655.47
1947,2017-11-11 09-PM,ETHUSD,319.61,320,313.19,315.9,2500.48,788898.67
1946,2017-11-11 10-PM,ETHUSD,315.9,317.59,312.51,313.32,1148.42,361855.16
1945,2017-11-11 11-PM,ETHUSD,313.32,315.77,308.1,314.07,4263.57,1333354.96
1944,2017-11-12 12-AM,ETHUSD,314.07,314.23,308.6,308.71,1747.89,543764.37
1943,2017-11-12 01-AM,ETHUSD,308.71,311.4,306,307.46,2929.27,904753.79
1942,2017-11-12 02-AM,ETHUSD,307.46,309.77,304,306,2449.48,752028.23
1941,2017-11-12 03-AM,ETHUSD,306,308.83,300.41,305.09,6138.83,1868738.98
1940,2017-11-12 04-AM,ETHUSD,305.09,313.5,304.9,309.01,3360.74,1038669.16
1939,2017-11-12 05-AM,ETHUSD,309.01,311.7,302.22,305,3248.09,999813.83
1938,2017-11-12 06-AM,ETHUSD,305,305,292,294,6382.92,1898888.72
1937,2017-11-12 07-AM,ETHUSD,294,319.5,294,306,6022.18,1851829.58
1936,2017-11-12 08-AM,ETHUSD,306,310.32,298.41,301.63,6917.92,2095854.11
1935,2017-11-12 09-AM,ETHUSD,301.63,302.41,296,300.52,4952.28,1480545.56
1934,2017-11-12 10-AM,ETHUSD,300.52,304.9,298.1,302.7,4344.05,1313666.27
1933,2017-11-12 11-AM,ETHUSD,302.7,304.9,298.1,301,4714.78,1426779.8
1932,2017-11-12 12-PM,ETHUSD,301,304.9,298,299.7,2511.28,757489.65
1931,2017-11-12 01-PM,ETHUSD,299.7,304,298,301.64,4643.43,1400058.8
1930,2017-11-12 02-PM,ETHUSD,301.64,303.59,294,300.09,4583.58,1371654.6
1929,2017-11-12 03-PM,ETHUSD,300.09,307.98,300.09,307.96,5972.77,1820736.25
1928,2017-11-12 04-PM,ETHUSD,307.96,312.5,304,311.43,4302.33,1327858.34
1927,2017-11-12 05-PM,ETHUSD,311.43,316.21,308,315,5470.84,1712320.71
1926,2017-11-12 06-PM,ETHUSD,315,317,312,313.14,4755.06,1496804.65
1925,2017-11-12 07-PM,ETHUSD,313.14,316,304.3,312.99,4916.46,1518378.07
1924,2017-11-12 08-PM,ETHUSD,312.99,314.5,306,308.79,2095.74,651577.67
1923,2017-11-12 09-PM,ETHUSD,308.79,310.57,305.05,308.58,2395.7,737628.52
1922,2017-11-12 10-PM,ETHUSD,308.58,312,301.33,303,4350.34,1324942.69
1921,2017-11-12 11-PM,ETHUSD,303,310,302.8,303,3964.65,1211010.7
1920,2017-11-13 12-AM,ETHUSD,303,313.89,302.8,313,5343.23,1642630.55
1919,2017-11-13 01-AM,ETHUSD,313,318,309.69,315,7365.98,2318639.68
1918,2017-11-13 02-AM,ETHUSD,315,318,312.39,313.82,2310.99,730550.27
1917,2017-11-13 03-AM,ETHUSD,313.82,316,311,311,1747.09,546966.04
1916,2017-11-13 04-AM,ETHUSD,311,315,306.7,309.76,2005.75,622021.58
1915,2017-11-13 05-AM,ETHUSD,309.76,313.47,305.86,308.5,3380.52,1046038.84
1914,2017-11-13 06-AM,ETHUSD,308.5,310.35,306.55,309.5,2578.54,795906.27
1913,2017-11-13 07-AM,ETHUSD,309.5,312.97,307,311.5,1692.6,524263.29
1912,2017-11-13 08-AM,ETHUSD,311.5,314.95,308.42,311,2177.56,680572.91
1911,2017-11-13 09-AM,ETHUSD,311,315,310.5,310.9,1847.08,577542.75
1910,2017-11-13 10-AM,ETHUSD,310.9,313.39,309.5,313.39,1021.83,317950
1909,2017-11-13 11-AM,ETHUSD,313.39,315,311.47,313.9,1691.54,530168.65
1908,2017-11-13 12-PM,ETHUSD,313.9,314.7,311.5,313.9,1544.44,483109.95
1907,2017-11-13 01-PM,ETHUSD,313.9,314.37,308.1,312.49,2824.24,878413.32
1906,2017-11-13 02-PM,ETHUSD,312.49,314.65,309.49,310.8,2897.09,903306.11
1905,2017-11-13 03-PM,ETHUSD,310.8,312.75,310,311,1465.11,456054.85
1904,2017-11-13 04-PM,ETHUSD,311,311.68,307.61,308.8,1127.76,349122.81
1903,2017-11-13 05-PM,ETHUSD,308.8,311.14,307.5,308.02,918.12,283839.25
1902,2017-11-13 06-PM,ETHUSD,308.02,311.61,305,308.2,2728.74,841292.39
1901,2017-11-13 07-PM,ETHUSD,308.2,314,307.4,311.6,1734.88,540498.96
1900,2017-11-13 08-PM,ETHUSD,311.6,312.4,308.05,309.74,1250.28,387991.74
1899,2017-11-13 09-PM,ETHUSD,309.74,314,308,310.69,1734.71,540206
1898,2017-11-13 10-PM,ETHUSD,310.69,312.62,310,310.62,554.58,172682.34
1897,2017-11-13 11-PM,ETHUSD,310.62,313.99,310.62,313.99,1126.83,352456.67
1896,2017-11-14 12-AM,ETHUSD,313.99,315.71,312.52,314.5,2493.2,784102.71
1895,2017-11-14 01-AM,ETHUSD,314.5,316.2,312.6,314.67,1618.68,509588.38
1894,2017-11-14 02-AM,ETHUSD,314.67,319,313.48,318.99,2442.5,772879.9
1893,2017-11-14 03-AM,ETHUSD,318.99,321,316.98,318.02,3933.49,1256112.12
1892,2017-11-14 04-AM,ETHUSD,318.02,318.56,315.3,315.3,1288.17,408152.3
1891,2017-11-14 05-AM,ETHUSD,315.3,318.38,315.01,317.4,2182.77,692572.4
1890,2017-11-14 06-AM,ETHUSD,317.4,320.8,315.91,320.8,1549.85,494975.33
1889,2017-11-14 07-AM,ETHUSD,320.8,327.55,320.8,326.8,6471.97,2097977.77
1888,2017-11-14 08-AM,ETHUSD,326.8,337,325.3,326,11342.18,3757499.93
1887,2017-11-14 09-AM,ETHUSD,326,333.59,323.55,329.94,5400.73,1780105.39
1886,2017-11-14 10-AM,ETHUSD,329.94,332.23,324,328.3,2242.77,735309.82
1885,2017-11-14 11-AM,ETHUSD,328.3,330.16,318.8,320,6898.79,2227764.78
1884,2017-11-14 12-PM,ETHUSD,320,325.5,316,322.5,4552.92,1455150.25
1883,2017-11-14 01-PM,ETHUSD,322.5,324.95,321.44,324.3,3713.62,1197023.86
1882,2017-11-14 02-PM,ETHUSD,324.3,326.81,323.16,326.67,1422.54,462467.05
1881,2017-11-14 03-PM,ETHUSD,326.67,329.29,325.08,326.42,4807.97,1573997.83
1880,2017-11-14 04-PM,ETHUSD,326.42,328.5,325.08,327.54,1247.02,407434.13
1879,2017-11-14 05-PM,ETHUSD,327.54,328.1,326,326,1901.14,622558.1
1878,2017-11-14 06-PM,ETHUSD,326,327,323.61,323.7,1187.72,385996.07
1877,2017-11-14 07-PM,ETHUSD,323.7,329.14,323.7,328.57,896.97,293541.54
1876,2017-11-14 08-PM,ETHUSD,328.57,331.5,328.57,330.7,1393.84,459736.91
1875,2017-11-14 09-PM,ETHUSD,330.7,333,328.57,332.3,1589.54,526440.42
1874,2017-11-14 10-PM,ETHUSD,332.3,336.5,329.8,330.2,3176.38,1059130.9
1873,2017-11-14 11-PM,ETHUSD,330.2,334.26,328.28,333.76,3490.4,1158227.94
1872,2017-11-15 12-AM,ETHUSD,333.76,336.4,330.5,333.85,2674.3,894453.56
1871,2017-11-15 01-AM,ETHUSD,333.85,334.27,329,329,1047.6,347215.69
1870,2017-11-15 02-AM,ETHUSD,329,331,328,330.4,2172.24,715447.42
1869,2017-11-15 03-AM,ETHUSD,330.4,332.5,328,332.47,750.11,247984.42
1868,2017-11-15 04-AM,ETHUSD,332.47,334.27,331.74,334.01,1131.06,376468.85
1867,2017-11-15 05-AM,ETHUSD,334.01,337.3,333.5,336.25,2948.4,990479.67
1866,2017-11-15 06-AM,ETHUSD,336.25,338.77,334.12,336.78,1961.77,660475.74
1865,2017-11-15 07-AM,ETHUSD,336.78,337.8,332.55,335.23,1670.84,559842.09
1864,2017-11-15 08-AM,ETHUSD,335.23,336.11,333.96,335,808.77,271008.86
1863,2017-11-15 09-AM,ETHUSD,335,335.87,331.55,331.55,695.94,232093.02
1862,2017-11-15 10-AM,ETHUSD,331.55,335.05,331.02,334,1075.12,358597.11
1861,2017-11-15 11-AM,ETHUSD,334,335.33,332.35,332.7,1202.75,402216.68
1860,2017-11-15 12-PM,ETHUSD,332.7,334.48,330.49,331,1721.54,571726.66
1859,2017-11-15 01-PM,ETHUSD,331,332.33,329.5,330.88,1614.31,533116.43
1858,2017-11-15 02-PM,ETHUSD,330.88,332.33,327.63,328.15,2014.09,665104.86
1857,2017-11-15 03-PM,ETHUSD,328.15,330.99,324.68,327.08,4070.76,1329761.69
1856,2017-11-15 04-PM,ETHUSD,327.08,331.36,325,328.9,1620.93,532212.82
1855,2017-11-15 05-PM,ETHUSD,328.9,330.87,327.53,330.2,664.51,218746.8
1854,2017-11-15 06-PM,ETHUSD,330.2,331.28,328.5,329.26,783.78,258791.58
1853,2017-11-15 07-PM,ETHUSD,329.26,330.5,327,327,1220.05,400346.44
1852,2017-11-15 08-PM,ETHUSD,327,330,325.97,329.05,1421.23,465421.77
1851,2017-11-15 09-PM,ETHUSD,329.05,330,327,327,443.94,145724.19
1850,2017-11-15 10-PM,ETHUSD,327,329,326.26,328.31,544.9,178564.56
1849,2017-11-15 11-PM,ETHUSD,328.31,331,326.71,330.92,647.6,213176.41
1848,2017-11-16 12-AM,ETHUSD,330.92,330.92,329.3,330,313.81,103531.95
1847,2017-11-16 01-AM,ETHUSD,330,330.83,327.9,329.42,709.29,233311.34
1846,2017-11-16 02-AM,ETHUSD,329.42,330.3,327.1,328.81,1226.41,403430.2
1845,2017-11-16 03-AM,ETHUSD,328.81,329,326.4,329,812.4,265833.36
1844,2017-11-16 04-AM,ETHUSD,329,329.45,326.6,328.79,1368.73,448493.33
1843,2017-11-16 05-AM,ETHUSD,328.79,328.79,326.79,328.36,828.6,271569.37
1842,2017-11-16 06-AM,ETHUSD,328.36,328.46,326.81,327.59,442.68,145037.39
1841,2017-11-16 07-AM,ETHUSD,327.59,328,324.23,324.76,1034.76,337420.87
